Date,Open,High,Low,Close,Adj Close,Volume
2022-04-06,0.460637,0.462872,0.412253,0.412404,0.412404,274876496
2022-04-07,0.412632,0.434541,0.410169,0.431988,0.431988,177670575
2022-04-08,0.431954,0.431954,0.390942,0.393768,0.393768,211741136
2022-04-09,0.393728,0.407934,0.393100,0.406316,0.406316,116180385
2022-04-10,0.406328,0.408946,0.387036,0.387036,0.387036,131654663
2022-04-11,0.386512,0.386512,0.345484,0.348271,0.348271,198915424
2022-04-12,0.348378,0.374595,0.348378,0.372876,0.372876,164744776
2022-04-13,0.372808,0.385707,0.364411,0.383554,0.383554,145754344
2022-04-14,0.383512,0.389462,0.357966,0.363472,0.363472,123971209
2022-04-15,0.363548,0.371212,0.360030,0.368979,0.368979,78917067
2022-04-16,0.368958,0.370849,0.357997,0.363022,0.363022,64884408
2022-04-17,0.363004,0.369428,0.348959,0.349776,0.349776,71399544
2022-04-18,0.349800,0.361896,0.333934,0.361705,0.361705,119225895
2022-04-19,0.361734,0.369287,0.356695,0.361952,0.361952,107411333
2022-04-20,0.361938,0.380140,0.356187,0.362412,0.362412,180125661
2022-04-21,0.362404,0.392722,0.353036,0.354383,0.354383,269037557
2022-04-22,0.354411,0.366437,0.349679,0.354013,0.354013,124854283
2022-04-23,0.354014,0.358684,0.345289,0.354132,0.354132,79341843
2022-04-24,0.353963,0.362140,0.348117,0.357757,0.357757,93655512
2022-04-25,0.357855,0.358609,0.326780,0.358609,0.358609,156713855
2022-04-26,0.359037,0.402387,0.337774,0.338294,0.338294,427776810
2022-04-27,0.338298,0.368554,0.335036,0.366886,0.366886,190982384
2022-04-28,0.366900,0.408358,0.357926,0.359403,0.359403,372116832
2022-04-29,0.359396,0.361685,0.339070,0.348685,0.348685,205690040
2022-04-30,0.348693,0.358964,0.296788,0.307572,0.307572,198404252
2022-05-01,0.307533,0.324481,0.304793,0.315949,0.315949,135554716
2022-05-02,0.315911,0.319453,0.299888,0.307417,0.307417,120398878
2022-05-03,0.307401,0.335711,0.304314,0.319362,0.319362,144537161
2022-05-04,0.319347,0.346212,0.311872,0.338699,0.338699,162145070
2022-05-05,0.340629,0.344787,0.290253,0.301920,0.301920,192870155
2022-05-06,0.301622,0.301706,0.283209,0.295699,0.295699,125989418
2022-05-07,0.295698,0.303525,0.288836,0.292527,0.292527,97580985
2022-05-08,0.292510,0.310142,0.284167,0.299321,0.299321,148456882
2022-05-09,0.299377,0.306023,0.240585,0.240585,0.240585,170359871
2022-05-10,0.240258,0.268492,0.229150,0.246169,0.246169,237735632
2022-05-11,0.245960,0.255226,0.146058,0.152153,0.152153,316219478
2022-05-12,0.152199,0.162683,0.119051,0.134590,0.134590,193791814
2022-05-13,0.134520,0.166226,0.133684,0.149873,0.149873,134006818
2022-05-14,0.149880,0.193493,0.144814,0.192959,0.192959,181287151
2022-05-15,0.192871,0.205614,0.187376,0.199253,0.199253,220053779
2022-05-16,0.199266,0.202040,0.172668,0.173448,0.173448,121442895
2022-05-17,0.173634,0.190999,0.169871,0.179698,0.179698,117891665
2022-05-18,0.179733,0.183697,0.157731,0.157731,0.157731,104076079
2022-05-19,0.157597,0.164646,0.149208,0.160985,0.160985,81505201
2022-05-20,0.160944,0.163541,0.147079,0.151293,0.151293,71112891
2022-05-21,0.151233,0.161145,0.149135,0.158062,0.158062,55300984
2022-05-22,0.158061,0.167365,0.155865,0.163390,0.163390,58805563
2022-05-23,0.163318,0.173658,0.154707,0.154852,0.154852,81746443
